SKU,Product_Name,Category,subcategory,Brand,Pack_Size,Tawfeer_Price,Cost,Margin_Floor,calculation vs market price,Margin Flag,Pricing Flag,Recommended action,Recommended price,Difference vs Lowest in the market,New GM% after price recommendation,KVI_Flag,Promo_Flag,Carrefour_Price,Spinneys_Price,MetroMart_Price,Lowest market price,average market price,Units_Sold_Last_Week,Inventory_Level,Stock cover,Inventory interpreation,Store_Count,Last_Price_Change_Date,SKU_Type,Target_GM,Min_Allowed_Price,Max_Allowed_Price,Market_Anchor_Price,Margin_Floor_Price,Constraint_Reason,Approval_Status
1018,Cream Cheese 200g,Dairy,Cream Cheese,Generic,200g,3.7,3.15,0.12,5.7142857142857197E-2,Within margin threshold,Too expensive,Decrease Price,3.6,2.8571428571428598E-2,0.12500000000000006,Yes,No,3.5,3.9,3.6,3.5,3.6666666666666665,200,700,3.5,Understocked,22,46065,KVI,0.15,3.5795454545454546,,3.6666666666666665,3.5795454545454546,Price positioning conflict,Review
1019,Cream Cheese 400g,Dairy,Cream Cheese,Generic,400g,6.9,5.55,0.16,-7.1942446043165211E-3,Within margin threshold,Within range,Keep,6.9,-7.1942446043165211E-3,0.19565217391304354,No,No,6.7,7.3,6.85,6.7,6.95,160,1072,6.7,Rightly stocked,22,46065,Slow mover,0.19500000000000001,6.6071428571428568,,6.95,6.6071428571428568,No conflict,Approve
1020,Labneh 400g,Dairy,Labneh,Generic,400g,4.5,3.92,0.12,4.6511627906976785E-2,Within margin threshold,Too expensive,Decrease Price,4.45,3.4883720930232641E-2,0.11910112359550568,Yes,No,4.3,4.8,4.4000000000000004,4.3,4.5,420,1806,4.3,Rightly stocked,28,46074,KVI,0.13,4.4545454545454541,,4.5,4.4545454545454541,Price positioning conflict,Review
1021,Labneh 800g,Dairy,Labneh,Generic,800g,7.9,6.79,0.12,3.9473684210526411E-2,Within margin threshold,Too expensive,Decrease Price,7.7,1.3157894736842176E-2,0.11818181818181819,Yes,No,7.6,8.4,7.7,7.6,7.8999999999999995,300,2280,7.6,Rightly stocked,28,46074,KVI,0.13999999999999999,7.7159090909090908,,7.8999999999999995,7.7159090909090908,Price positioning conflict,Review
1022,Sour Cream 200g,Dairy,Sour cream,Generic,200g,2.9,2.33,0.16,0,Within margin threshold,Within range,Keep,2.9,0,0.19655172413793098,No,No,2.8,3.05,2.85,2.8,2.9,140,392,2.8,Understocked,20,46062,Slow mover,0.19500000000000001,2.7738095238095242,,2.9,2.7738095238095242,No conflict,Approve
1023,Sour Cream 400g,Dairy,Sour cream,Generic,400g,4.9000000000000004,4.04,0.16,1.8126090197961742E-16,Within margin threshold,Within range,Keep,4.9000000000000004,1.8126090197961742E-16,0.1755102040816327,No,No,4.7,5.2,4.8,4.7,4.8999999999999995,120,564,4.7,Rightly stocked,20,46062,Slow mover,0.17499999999999999,4.8095238095238093,,4.8999999999999995,4.8095238095238093,No conflict,Approve
1024,Cooking Cream 200ml,Dairy,Cooking cream,Generic,200ml,2.5,2.0099999999999998,0.16,0,Within margin threshold,Within range,Keep,2.5,0,0.19600000000000009,No,No,2.4,2.65,2.4500000000000002,2.4,2.5,180,432,2.4,Understocked,22,46060,Core,0.19500000000000001,2.3928571428571428,,2.5,2.3928571428571428,No conflict,Approve
1025,Cooking Cream 500ml,Dairy,Cooking cream,Generic,500ml,4.8,3.86,0.16,0,Within margin threshold,Within range,Keep,4.8,0,0.19583333333333333,No,No,4.5999999999999996,5.0999999999999996,4.7,4.5999999999999996,4.8,160,736,4.5999999999999996,Rightly stocked,22,46060,Slow mover,0.19500000000000001,4.5952380952380949,,4.8,4.5952380952380949,No conflict,Approve
1026,Whipping Cream 200ml,Dairy,Whipping,Generic,200ml,2.7,2.2999999999999998,0.16,-6.1349693251533518E-3,Below margin threshold,Within range,Increase Price,2.75,1.2269938650306704E-2,0.16363636363636369,No,No,2.6,2.9,2.65,2.6,2.7166666666666668,150,390,2.6,Understocked,20,46059,Slow mover,0.15,2.7380952380952381,,2.7166666666666668,2.7380952380952381,Price positioning conflict,Review
1027,Whipping Cream 500ml,Dairy,Whipping,Generic,500ml,5.2,4.24,0.16,0,Within margin threshold,Within range,Keep,5.2,0,0.1846153846153846,No,No,5,5.5,5.0999999999999996,5,5.2,130,650,5,Rightly stocked,20,46059,Slow mover,0.185,5.0476190476190483,,5.2,5.0476190476190483,No conflict,Approve
1028,Feta Cheese 200g,Dairy,Feta Cheese,Generic,200g,4.2,3.65,0.12,5.0000000000000044E-2,Within margin threshold,Too expensive,Decrease Price,4.1500000000000004,3.7500000000000089E-2,0.12048192771084347,Yes,No,4,4.5,4.0999999999999996,4,4.2,250,1000,4,Rightly stocked,24,46069,KVI,0.13,4.1477272727272725,,4.2,4.1477272727272725,Price positioning conflict,Review
1029,Feta Cheese 400g,Dairy,Feta Cheese,Generic,400g,7.5,6.04,0.16,2.2271714922048919E-3,Within margin threshold,Too expensive,Decrease Price,7.3500000000000005,-1.7817371937639135E-2,0.17823129251700687,No,No,7.2,7.95,7.3,7.2,7.4833333333333334,210,1512,7.2,Rightly stocked,24,46069,Core,0.19500000000000001,7.1904761904761907,,7.4833333333333334,7.1904761904761907,No conflict,Approve
1030,Halloumi 200g,Dairy,Halloum cheese,Generic,200g,5.8,4.7300000000000004,0.16,-8.5470085470086676E-3,Within margin threshold,Within range,Keep,5.8,-8.5470085470086676E-3,0.18448275862068955,No,No,5.6,6.25,5.7,5.6,5.8500000000000005,170,952,5.6,Rightly stocked,22,46061,Slow mover,0.185,5.6309523809523814,,5.8500000000000005,5.6309523809523814,No conflict,Approve
1031,Halloumi 400g,Dairy,Halloum cheese,Generic,400g,10.5,8.82,0.12,3.9603960396039639E-2,Within margin threshold,Too expensive,Decrease Price,10,-9.9009900990098664E-3,0.11799999999999997,Yes,No,10.1,11.2,10.3,10.1,10.533333333333333,140,1414,10.1,Overstocked,22,46061,KVI,0.16,10.022727272727273,,10.533333333333333,10.022727272727273,Price positioning conflict,Review
1032,Milk Powder 400g,Dairy,Powder milk,Generic,400g,6.2,5.39,0.12,3.3333333333333361E-2,Within margin threshold,Too expensive,Decrease Price,6.15,2.500000000000006E-2,0.12357723577235782,Yes,No,6,6.7,6.1,6,6.2666666666666657,210,1260,6,Rightly stocked,24,46071,KVI,0.13,6.125,,6.2666666666666657,6.125,Price positioning conflict,Review
1033,Milk Powder 800g,Dairy,Powder milk,Generic,800g,11.8,10.15,0.12,3.5087719298245647E-2,Within margin threshold,Too expensive,Decrease Price,11.55,1.3157894736842136E-2,0.12121212121212123,Yes,No,11.4,12.6,11.6,11.4,11.866666666666667,180,2052,11.4,Overstocked,24,46071,KVI,0.13999999999999999,11.53409090909091,,11.866666666666667,11.53409090909091,Price positioning conflict,Review
1034,Condensed Milk,Dairy,Condensed milk,Generic,400g,2.1,1.69,0.16,0,Within margin threshold,Within range,Keep,2.1,0,0.19523809523809529,No,No,2,2.25,2.0499999999999998,2,2.1,230,460,2,Understocked,24,46065,Core,0.19500000000000001,2.0119047619047619,,2.1,2.0119047619047619,No conflict,Approve
1035,Evaporated Milk,Dairy,Evaporated milk,Generic,400g,1.9,1.61,0.16,1.1686558153949018E-16,Below margin threshold,Within range,Keep,1.9000000000000001,2.3373116307898036E-16,0.15263157894736842,No,No,1.8,2.0499999999999998,1.85,1.8,1.8999999999999997,210,378,1.8,Understocked,24,46065,Core,0.155,1.916666666666667,,1.8999999999999997,1.916666666666667,Margin conflict,Review
1036,Cheese Slices 200g,Dairy,Cheese slices,Generic,200g,3.6,3.13,0.12,5.8823529411764761E-2,Within margin threshold,Too expensive,Decrease Price,3.5500000000000003,4.4117647058823636E-2,0.11830985915492967,Yes,No,3.4,3.8,3.5,3.4,3.5666666666666664,200,680,3.4,Understocked,22,46064,KVI,0.13,3.5568181818181817,,3.5666666666666664,3.5568181818181817,Price positioning conflict,Review
1037,Cheese Slices 400g,Dairy,Cheese slices,Generic,400g,6.5,5.23,0.16,2.5706940874034526E-3,Within margin threshold,Too expensive,Decrease Price,6.3500000000000005,-2.0565552699228853E-2,0.17637795275590551,No,No,6.2,6.9,6.35,6.2,6.4833333333333343,160,992,6.2,Rightly stocked,22,46064,Slow mover,0.19500000000000001,6.2261904761904772,,6.4833333333333343,6.2261904761904772,Price positioning conflict,Review
1038,Yogurt Kids Pack,Dairy,Yogurt,Generic,4x100g,3.1,2.5,0.16,-1.0638297872340248E-2,Within margin threshold,Within range,Keep,3.1,-1.0638297872340248E-2,0.19354838709677422,No,No,3,3.35,3.05,3,3.1333333333333329,300,900,3,Understocked,26,46070,Core,0.19500000000000001,2.9761904761904763,,3.1333333333333329,2.9761904761904763,No conflict,Approve
1039,Yogurt Family Pack,Dairy,Yogurt,Generic,1kg,5.2,4.37,0.12,4.0000000000000036E-2,Within margin threshold,Too expensive,Decrease Price,4.95,-9.9999999999999638E-3,0.11717171717171718,Yes,No,5,5.55,5.0999999999999996,5,5.2166666666666668,270,1350,5,Rightly stocked,26,46070,KVI,0.16,4.9659090909090908,,5.2166666666666668,4.9659090909090908,Price positioning conflict,Review
1040,Organic Milk 1L,Dairy,Milk,Generic,1L,3.4,2.84,0.16,-4.8780487804877875E-3,Within margin threshold,Within range,Keep,3.4,-4.8780487804877875E-3,0.1647058823529412,No,No,3.25,3.7,3.3,3.25,3.4166666666666665,180,585,3.25,Understocked,22,46068,Core,0.16500000000000001,3.3809523809523809,,3.4166666666666665,3.3809523809523809,No conflict,Approve
